Sr.No.,Colleges,CourseName,ST,City
195,"LakshmiNarayan Institute of Technology ,Nagpur",Plastic & Polymer technology,0,Nagpur
196,"LakshmiNarayan Institute of Technology ,Nagpur",Paper & Pulp Technology,0,Nagpur
197,"LakshmiNarayan Institute of Technology ,Nagpur",Petrochemical Engineering,0,Nagpur
198,"LakshmiNarayan Institute of Technology ,Nagpur",Oil Technology,0,Nagpur
199,"LakshmiNarayan Institute of Technology ,Nagpur",Surface Coating,0,Nagpur
200,"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded",Civil Engineering,0,Nanded
201,"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded",Electronics and Telecommunication Engineering,0,Nanded
202,"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded",Mechanical Engineering,0,Nanded
203,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Civil Engg,0,Nanded
204,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Electrical Engineering,0,Nanded
205,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Instrumentation Engineering,0,Nanded
206,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Chemical Engineering,0,Nanded
207,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Production Engineering,0,Nanded
208,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Textile Technology,0,Nanded
209,AISSMS College of Engineering,Instrumention Engg,0,Pune
210,"JSPM'S Jaywantrao Sawant College of Engineering,Pune",Information Technology,0,Pune
211,"JSPM'S Jaywantrao Sawant College of Engineering,Pune",Electronics and Telecommunication Engineering,0,Pune
212,"JSPM'S Jaywantrao Sawant College of Engineering,Pune",Mechanical Engineering,0,Pune
213,"Marathwada Mitra Mandal's College of Engineering,Karvenagar,Pune",E & TC,0,Pune
214,"Marathwada Mitra Mandal's College of Engineering,Karvenagar,Pune",Mechanical Engg,0,Pune
215,"MIT Academy of Engineering,Alandi, Pune",Electronics Engineering,0,"Alandi, Pune"
216,"MIT Academy of Engineering,Alandi, Pune",Chemical Engineering,0,"Alandi, Pune"
217,"MIT Academy of Engineering,Alandi, Pune",Mechanical Engineering,0,"Alandi, Pune"
218,"Modern Education Society's College of Engineering, Pune",Mechanical Engineering,0,Pune
219,"Pune Vidyarthi Griha's College of Engineering & Technology,Pune",Printing Technology,0,Pune
220,"Sinhagad College of Engineering,Vadgaon,Pune",Chemical Engg,0,Pune
221,"Sinhagad College of Engineering,Vadgaon,Pune",Production Engg,0,Pune
222,"Sinhagad College of Engineering,Vadgaon,Pune",Mechanical Engg,0,Pune
223,"Zeal Eduction Socity's Zeal College of Engineering & Research, Nerhe, Pune",Civil Engineering,0,Pune
224,"Zeal Eduction Socity's Zeal College of Engineering & Research, Nerhe, Pune",Chemical Engineering,0,Pune
